algorithm,function,dimension,interaction,value
GA,rastrigin,50,selection_tournament_x_crossover_sbx,-197.60025453482731
GA,rastrigin,50,selection_tournament_x_mutation_polynomial,-173.67333423175162
GA,rastrigin,50,crossover_sbx_x_mutation_polynomial,265.4657554893099
GA,schwefel,10,selection_tournament_x_crossover_sbx,-255.4394439618549
GA,schwefel,10,selection_tournament_x_mutation_polynomial,-648.9661378649017
GA,schwefel,10,crossover_sbx_x_mutation_polynomial,1582.3063088040594
GA,schwefel,30,selection_tournament_x_crossover_sbx,-2618.364031047024
GA,schwefel,30,selection_tournament_x_mutation_polynomial,-1897.2384308716046
GA,schwefel,30,crossover_sbx_x_mutation_polynomial,3331.1105001781134
GA,schwefel,50,selection_tournament_x_crossover_sbx,-4610.433134796005
GA,schwefel,50,selection_tournament_x_mutation_polynomial,-4419.478590819763
GA,schwefel,50,crossover_sbx_x_mutation_polynomial,4940.258367886973
GA,ackley,10,selection_tournament_x_crossover_sbx,-1.3152373758142688
GA,ackley,10,selection_tournament_x_mutation_polynomial,-8.104040809638574
GA,ackley,10,crossover_sbx_x_mutation_polynomial,6.2838606246781765
GA,ackley,30,selection_tournament_x_crossover_sbx,-6.175293889353382
GA,ackley,30,selection_tournament_x_mutation_polynomial,-8.56237526761192
GA,ackley,30,crossover_sbx_x_mutation_polynomial,-2.8630460729895777
GA,ackley,50,selection_tournament_x_crossover_sbx,-6.363948672306858
GA,ackley,50,selection_tournament_x_mutation_polynomial,-5.361938731967779
GA,ackley,50,crossover_sbx_x_mutation_polynomial,-3.546986504660509
GA,griewank,10,selection_tournament_x_crossover_sbx,-4.837855457729325
GA,griewank,10,selection_tournament_x_mutation_polynomial,-2.5528324056039837
GA,griewank,10,crossover_sbx_x_mutation_polynomial,103.90769962626203
GA,griewank,30,selection_tournament_x_crossover_sbx,-37.12043890132566
GA,griewank,30,selection_tournament_x_mutation_polynomial,-158.76239160483772
GA,griewank,30,crossover_sbx_x_mutation_polynomial,371.5593232406543
GA,griewank,50,selection_tournament_x_crossover_sbx,-130.01493358421953
GA,griewank,50,selection_tournament_x_mutation_polynomial,-347.93723180693473
GA,griewank,50,crossover_sbx_x_mutation_polynomial,489.38802434611296
GA,levy,10,selection_tournament_x_crossover_sbx,-0.19208031709657014
GA,levy,10,selection_tournament_x_mutation_polynomial,-2.6808641013614585
GA,levy,10,crossover_sbx_x_mutation_polynomial,27.94272329029279
GA,levy,30,selection_tournament_x_crossover_sbx,-23.676163975940092
GA,levy,30,selection_tournament_x_mutation_polynomial,-31.678217734747285
GA,levy,30,crossover_sbx_x_mutation_polynomial,144.1762893784848
GA,levy,50,selection_tournament_x_crossover_sbx,-47.40721782723185
GA,levy,50,selection_tournament_x_mutation_polynomial,-82.35889859542095
GA,levy,50,crossover_sbx_x_mutation_polynomial,242.879228767791
GA,zakharov,10,selection_tournament_x_crossover_sbx,22.462010379800184
GA,zakharov,10,selection_tournament_x_mutation_polynomial,-46.72256510899828
GA,zakharov,10,crossover_sbx_x_mutation_polynomial,1873.2289123241533
GA,zakharov,30,selection_tournament_x_crossover_sbx,91.2277921316006
GA,zakharov,30,selection_tournament_x_mutation_polynomial,-125.9450701833298
GA,zakharov,30,crossover_sbx_x_mutation_polynomial,388576206.2256069
GA,zakharov,50,selection_tournament_x_crossover_sbx,116276021.15837969
GA,zakharov,50,selection_tournament_x_mutation_polynomial,-116276040.51896133
GA,zakharov,50,crossover_sbx_x_mutation_polynomial,164529837399.68494
GA,dixon_price,10,selection_tournament_x_crossover_sbx,-532.0204108416801
GA,dixon_price,10,selection_tournament_x_mutation_polynomial,247.4995475290419
GA,dixon_price,10,crossover_sbx_x_mutation_polynomial,70300.10998314443
GA,dixon_price,30,selection_tournament_x_crossover_sbx,-7731.822966033513
GA,dixon_price,30,selection_tournament_x_mutation_polynomial,-224553.43121307838
GA,dixon_price,30,crossover_sbx_x_mutation_polynomial,1396606.1832001042
GA,dixon_price,50,selection_tournament_x_crossover_sbx,-108131.13558994519
GA,dixon_price,50,selection_tournament_x_mutation_polynomial,-1305302.6330004756
GA,dixon_price,50,crossover_sbx_x_mutation_polynomial,3909871.868587415
PSO,sphere,10,velocity_constriction_x_position_update,-27.031661151804983
PSO,sphere,10,velocity_constriction_x_topology_gbest,-3.487001851191131
PSO,sphere,10,position_update_x_topology_gbest,-3.487001851191131
PSO,sphere,30,velocity_constriction_x_position_update,-68.80828022417384
PSO,sphere,30,velocity_constriction_x_topology_gbest,-40.200526340181845
PSO,sphere,30,position_update_x_topology_gbest,-40.200526340181845
PSO,sphere,50,velocity_constriction_x_position_update,-110.25397367038083
PSO,sphere,50,velocity_constriction_x_topology_gbest,-84.94726956573088
PSO,sphere,50,position_update_x_topology_gbest,-84.94726956573088
PSO,rosenbrock,10,velocity_constriction_x_position_update,-115755.27074004323
PSO,rosenbrock,10,velocity_constriction_x_topology_gbest,-6669.410556409974
PSO,rosenbrock,10,position_update_x_topology_gbest,-6669.410556409974
PSO,rosenbrock,30,velocity_constriction_x_position_update,-801647.2079629907
PSO,rosenbrock,30,velocity_constriction_x_topology_gbest,-223021.59330679534
PSO,rosenbrock,30,position_update_x_topology_gbest,-223021.59330679534
PSO,rosenbrock,50,velocity_constriction_x_position_update,-1666985.9917576946
PSO,rosenbrock,50,velocity_constriction_x_topology_gbest,-827317.6002697698
PSO,rosenbrock,50,position_update_x_topology_gbest,-827317.6002697698
PSO,rastrigin,10,velocity_constriction_x_position_update,-44.95177717278354
PSO,rastrigin,10,velocity_constriction_x_topology_gbest,-7.1673466187808295
